ntpsec-ntpdig	1.2.2+dfsg1-1+deb12u1	amd64	install ok installed
openssh-client	1:9.2p1-2+deb12u1	amd64	install ok installed
openssh-server	1:9.2p1-2+deb12u1	amd64	install ok installed
openssh-sftp-server	1:9.2p1-2+deb12u1	amd64	install ok installed
openssl	3.0.11-1~deb12u1	amd64	install ok installed
passwd	1:4.13+dfsg1-1+b1	amd64	install ok installed
pci.ids	0.0~2023.04.11-1	all	install ok installed
pciutils	1:3.9.0-4	amd64	install ok installed
perl-base	5.36.0-7	amd64	install ok installed
pm-utils	1.4.1-19	all	install ok installed
powermgmt-base	1.37	all	install ok installed
procps	2:4.0.2-3	amd64	install ok installed
psmisc	23.6-1	amd64	install ok installed
python3	3.11.2-1+b1	amd64	install ok installed
python3-minimal	3.11.2-1+b1	amd64	install ok installed
python3-ntp	1.2.2+dfsg1-1+deb12u1	amd64	install ok installed
python3.11	3.11.2-6	amd64	install ok installed
python3.11-minimal	3.11.2-6	amd64	install ok installed
readline-common	8.2-1.3	all	install ok installed
rfkill	2.38.1-5+b1	amd64	install ok installed
rsync	3.2.7-1	amd64	install ok installed
runit-helper	2.15.2	all	install ok installed
sdparm	1.12-1	amd64	install ok installed
sed	4.9-1	amd64	install ok installed
sensible-utils	0.0.17+nmu1	all	install ok installed
smartmontools	7.3-1+b1	amd64	install ok installed
squashfs-tools	1:4.5.1-1	amd64	install ok installed
ssh	1:9.2p1-2+deb12u1	all	install ok installed
systemd	252.17-1~deb12u1	amd64	install ok installed
systemd-sysv	252.17-1~deb12u1	amd64	install ok installed
sysvinit-utils	3.06-4	amd64	install ok installed
tar	1.34+dfsg-1.2	amd64	install ok installed
tasksel	3.73	all	install ok installed
tasksel-data	3.73	all	install ok installed
tzdata	2023c-5	all	install ok installed
ucf	3.0043+nmu1	all	install ok installed
udev	252.17-1~deb12u1	amd64	install ok installed
unzip	6.0-28	amd64	install ok installed
usb-modeswitch	2.6.1-3+b1	amd64	install ok installed
usb-modeswitch-data	20191128-5	all	install ok installed
usbutils	1:014-1	amd64	install ok installed
usr-is-merged	35	all	install ok installed
util-linux	2.38.1-5+b1	amd64	install ok installed
util-linux-extra	2.38.1-5+b1	amd64	install ok installed
vim-common	2:9.0.1378-2	all	deinstall ok config-files
vim-tiny	2:9.0.1378-2	amd64	deinstall ok config-files
virt-what	1.25-1	amd64	install ok installed
wget	1.21.3-1+b2	amd64	install ok installed
whiptail	0.52.23-1+b1	amd64	install ok installed
wireless-tools	30~pre9-14	amd64	install ok installed
wpasupplicant	2:2.10-12	amd64	install ok installed
xkb-data	2.35.1-1	all	install ok installed
xz-utils	5.4.1-0.2	amd64	install ok installed
zip	3.0-13	amd64	install ok installed
zlib1g	1:1.2.13.dfsg-1	amd64	install ok installed
zstd	1.5.4+dfsg2-5	amd64	install ok installed
